county_code,lwa
001,Cumberlands
003,South Central
005,Bluegrass
007,W. KY
009,South Central
011,TENCO
013,EKCEP
015,N. KY
017,Bluegrass
019,TENCO
021,Bluegrass
023,TENCO
025,EKCEP
027,Lincoln Trail
029,KY Works
031,South Central
033,W. KY
035,W. KY
037,N. KY
039,W. KY
041,N. KY
043,EKCEP
045,Cumberlands
047,W. KY
049,Bluegrass
051,EKCEP
053,Cumberlands
055,W. KY
057,Cumberlands
059,Green River
061,South Central
063,EKCEP
065,Bluegrass
067,Bluegrass
069,TENCO
071,EKCEP
073,Bluegrass
075,W. KY
077,N. KY
079,Bluegrass
081,N. KY
083,W. KY
085,Lincoln Trail
087,Cumberlands
089,TENCO
091,Green River
093,Lincoln Trail
095,EKCEP
097,Bluegrass
099,South Central
101,Green River
103,KY Works
105,W. KY
107,W. KY
109,EKCEP
111,KY Works
113,Bluegrass
115,EKCEP
117,N. KY
119,EKCEP
121,EKCEP
123,Lincoln Trail
125,Cumberlands
127,EKCEP
129,EKCEP
131,EKCEP
133,EKCEP
135,TENCO
137,Bluegrass
139,W. KY
141,South Central
143,W. KY
145,W. KY
147,Cumberlands
149,Green River
151,Bluegrass
153,EKCEP
155,Lincoln Trail
157,W. KY
159,EKCEP
161,TENCO
163,Lincoln Trail
165,EKCEP
167,Bluegrass
169,South Central
171,South Central
173,TENCO
175,EKCEP
177,W. KY
179,Lincoln Trail
181,Bluegrass
183,Green River
185,KY Works
187,N. KY
189,EKCEP
191,N. KY
193,EKCEP
195,EKCEP
197,Bluegrass
199,Cumberlands
201,TENCO
203,Cumberlands
205,TENCO
207,Cumberlands
209,Bluegrass
211,KY Works
213,South Central
215,KY Works
217,Cumberlands
219,W. KY
221,W. KY
223,KY Works
225,Green River
227,South Central
229,Lincoln Trail
231,Cumberlands
233,Green River
235,Cumberlands
237,EKCEP
239,Bluegrass
